Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
1-Nov-85,1-Nov-85,1985,1985,A Nightmare on Elm Street Part 2: Fre…,New Line,Horror,Original Screenplay,Live Action,Fantasy,"$3,000,000 ",522,522,"2,055","$2,865,475 ","$21,163,999 ","$54,310,987 ",$0 ,"$21,163,999 "
22-Jun-84,22-Jun-84,1984,1984,Top Secret!,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,100","1,100","4,400","$4,406,205 ","$21,100,000 ","$57,208,623 ",$0 ,"$21,100,000 "
3-Feb-84,3-Feb-84,1984,1984,Weekend Pass,Crown,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,399,475,"5,521","$1,451,676 ","$21,058,033 ","$57,094,839 ",$0 ,"$21,058,033 "
22-Mar-85,22-Mar-85,1985,1985,Porky's Revenge,20th Century Fox,Comedy,Original Screenplay,Live Action,Historical Fiction,$0 ,"1,423","1,423","7,709","$6,207,507 ","$20,518,000 ","$52,653,231 ",$0 ,"$20,518,000 "
3-May-85,3-May-85,1985,1985,Code of Silence,Orion Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,810","1,810","9,082","$5,512,461 ","$20,345,361 ","$52,210,203 ",$0 ,"$20,345,361 "
10-Feb-84,10-Feb-84,1984,1984,Unfaithfully Yours,20th Century Fox,Romantic Comedy,Remake,Live Action,Contemporary Fiction,$0 ,820,831,"5,926","$3,744,126 ","$19,928,200 ","$54,031,510 ",$0 ,"$19,928,200 "
16-Aug-85,16-Aug-85,1985,1985,Volunteers,Sony/TriStar,Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0 ,"1,560","1,560","7,716","$5,184,360 ","$19,875,740 ","$51,005,068 ",$0 ,"$19,875,740 "
4-Dec-85,4-Dec-85,1985,1985,Young Sherlock Holmes,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$18,000,000 ",920,"1,502","7,536","$2,528,234 ","$19,739,000 ","$50,331,192 ",$0 ,"$19,739,000 "
20-Jul-84,20-Jul-84,1984,1984,Best Defense,Paramount Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,"1,425","1,425","4,255","$7,872,297 ","$19,265,302 ","$52,234,189 ",$0 ,"$19,265,302 "
16-Aug-85,16-Aug-85,1985,1985,Year of the Dragon,MGM,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,982,982,"5,980","$4,039,079 ","$18,707,466 ","$48,007,040 ",$0 ,"$18,707,466 "
17-Feb-84,17-Feb-84,1984,1984,Blame it on Rio,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,201","1,234","6,679","$3,437,660 ","$18,600,000 ","$50,430,355 ",$0 ,"$18,600,000 "
11-Jun-82,11-Jun-82,1982,1982,ET: The Extra-Terrestrial,Universal,Drama,Original Screenplay,Live Action,Kids Fiction,"$10,500,000 ","1,101","3,010","62,065","$11,911,430 ","$435,110,554 ","$1,224,582,698 ","$357,854,772 ","$792,965,326 "
25-May-83,25-May-83,1983,1983,Star Wars Ep. VI: Return of the Jedi,20th Century Fox,Adventure,Original Screenplay,Live Action,Science Fiction,"$32,500,000 ","1,002","2,111","40,286","$23,019,618 ","$309,205,079 ","$847,248,129 ","$165,901,098 ","$475,106,177 "
17-Dec-82,17-Dec-82,1982,1982,Tootsie,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000 ",943,"1,222","28,567","$5,540,470 ","$177,200,000 ","$520,922,135 ",$0 ,"$177,200,000 "
28-Jul-82,28-Jul-82,1982,1982,An Officer and a Gentleman,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000 ",346,"1,050","27,756","$3,304,679 ","$129,795,554 ","$398,494,366 ",$0 ,"$129,795,554 "
28-May-82,28-May-82,1982,1982,Rocky III,MGM,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,939,"1,317","21,612","$16,015,408 ","$125,049,125 ","$387,482,144 ",$0 ,"$125,049,125 "
19-Mar-82,19-Mar-82,1982,1982,Porky's,20th Century Fox,Comedy,Original Screenplay,Live Action,Historical Fiction,"$4,000,000 ","1,148","1,605","22,480","$7,623,988 ","$109,492,484 ","$339,277,727 ",$0 ,"$109,492,484 "
23-Nov-83,23-Nov-83,1983,1983,Terms of Endearment,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,260,"1,259","20,945","$3,498,813 ","$108,423,489 ","$301,736,446 ",$0 ,"$108,423,489 "
15-Apr-83,15-Apr-83,1983,1983,Flashdance,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ","1,140","1,140","23,966","$4,076,124 ","$90,463,574 ","$261,626,391 ","$111,000,000 ","$201,463,574 "
