,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
208,Big Daddy,1999-06-25,1999,6,293169475,163479795,Comedy,Sony Pictures,23
209,The Hangover Part II,2011-05-26,2011,5,292329105,254464305,Comedy,Warner Bros.,25
210,Teenage Mutant Ninja Turtles,1990-03-30,1990,3,292007695,135265915,Adventure,New Line,23
211,Batman Begins,2005-06-15,2005,6,291838030,205343774,Action,Warner Bros.,25
212,Jurassic Park III,2001-07-18,2001,7,291594219,181166115,Action,Universal,25
213,The Flintstones,1994-05-27,1994,5,291455711,130531208,Comedy,Universal,23
214,Despicable Me,2010-07-09,2010,7,290402804,251513985,Adventure,Universal,25
215,As Good as it Gets,1997-12-24,1997,12,290167147,148478011,Romantic Comedy,Sony Pictures,24
216,Planet of the Apes,2001-07-27,2001,7,289729129,180011740,Adventure,20th Century Fox,25
217,Captain America: The Winter Soldier,2014-04-04,2014,4,289632162,259746958,Action,Walt Disney,25
218,Hancock,2008-07-01,2008,7,289218732,227946274,Action,Sony Pictures,25
219,The Hobbit: The Desolation of Smaug,2013-12-13,2013,12,289209476,258241522,Adventure,Warner Bros.,25
220,National Treasure: Book of Secrets,2007-12-21,2007,12,288541176,219961501,Adventure,Walt Disney,25
221,The Lego Movie,2014-02-07,2014,2,287444159,257784718,Adventure,Warner Bros.,25
222,Alvin and the Chipmunks,2007-12-14,2007,12,284244772,217326974,Adventure,20th Century Fox,25
223,Coming to America,1988-06-29,1988,6,284055339,128152301,Comedy,Paramount Pictures,23
224,WALL-E,2008-06-27,2008,6,283968229,223808164,Adventure,Walt Disney,25
225,The Hobbit: The Battle of the Five Ar…,2014-12-17,2014,12,283285507,255119788,Adventure,Warner Bros.,25
226,The Silence of the Lambs,1991-02-14,1991,2,282878946,130726716,Thriller/Suspense,Orion Pictures,23
227,"The Karate Kid, Part II",1986-06-20,1986,6,282640765,115103979,Action,Sony Pictures,23
228,Airplane!,1980-07-04,1980,7,282625178,83453539,Comedy,Paramount Pictures,22
229,Sing,2016-12-21,2016,12,280803807,270329045,Adventure,Universal,25
230,Ransom,1996-11-08,1996,11,280765035,136492681,Action,Walt Disney,24
231,Meet the Parents,2000-10-06,2000,10,280553027,166225040,Comedy,Universal,24
232,Doctor Dolittle,1998-06-26,1998,6,280013997,144156605,Adventure,20th Century Fox,24
233,101 Dalmatians,1996-11-27,1996,11,279599082,136189294,Adventure,Walt Disney,24
234,Stripes,1981-06-26,1981,6,279526257,85300000,Comedy,Columbia,23
235,300,2007-03-09,2007,3,278881114,210614939,Action,Warner Bros.,25
236,Sleepless in Seattle,1993-06-25,1993,6,278759140,126680884,Romantic Comedy,Sony Pictures,23
237,The Mummy,1999-05-07,1999,5,278653892,155385488,Adventure,Universal,23
238,Superman Returns,2006-06-28,2006,6,278334833,200120000,Adventure,Warner Bros.,25
239,Pirates of the Caribbean: On Stranger…,2011-05-20,2011,5,276934662,241063875,Adventure,Walt Disney,25
240,Ice Age,2002-03-15,2002,3,276573013,176387405,Adventure,20th Century Fox,25
241,The Rock,1996-06-07,1996,6,276328783,134069511,Action,Walt Disney,24
242,Shrek Forever After,2010-05-21,2010,5,275651728,238736787,Adventure,Paramount Pictures,25
243,Dumb & Dumber,1994-12-16,1994,12,275554178,127175374,Comedy,New Line,23
244,Madagascar,2005-05-27,2005,5,275141213,193595521,Adventure,Dreamworks SKG,25
245,Good Morning Vietnam,1987-12-23,1987,12,274937031,123922370,Comedy,Walt Disney,23
246,The Day After Tomorrow,2004-05-28,2004,5,273946646,186740799,Adventure,20th Century Fox,25
247,Happy Feet,2006-11-17,2006,11,273916847,198000317,Adventure,Warner Bros.,25
248,Rush Hour,1998-09-18,1998,9,273705951,141186864,Action,New Line,24
249,Transformers: Age of Extinction,2014-06-27,2014,6,273678083,245439076,Action,Paramount Pictures,25
250,Ratatouille,2007-06-29,2007,6,273360445,206445654,Adventure,Walt Disney,25
251,Kung Fu Panda,2008-06-06,2008,6,273343892,215434591,Adventure,Paramount Pictures,25
252,Runaway Bride,1999-07-30,1999,7,273034644,152257509,Romantic Comedy,Paramount Pictures,23
253,Deep Impact,1998-05-08,1998,5,272842869,140464664,Adventure,Paramount Pictures,24
254,Clear and Present Danger,1994-08-03,1994,8,272424766,122012656,Action,Paramount Pictures,23
255,Ice Age: The Meltdown,2006-03-31,2006,3,271673573,195330621,Adventure,20th Century Fox,25
256,Brave,2012-06-22,2012,6,271562769,237282182,Adventure,Walt Disney,25
257,Speed,1994-06-10,1994,6,270728083,121248145,Action,20th Century Fox,23
258,Dr. Seuss’ The Grinch,2018-11-09,2018,11,270620950,270620950,Adventure,Universal,25
259,A Beautiful Mind,2001-12-21,2001,12,269239236,170708996,Drama,Universal,25
260,Good Will Hunting,1997-12-05,1997,12,269219166,138433435,Drama,Miramax,24
261,Maleficent,2014-05-30,2014,5,269182462,241407328,Adventure,Walt Disney,25
262,The Polar Express,2004-11-10,2004,11,269052326,188042855,Adventure,Warner Bros.,25
263,Despicable Me 3,2017-06-30,2017,6,268754438,264624300,Adventure,Universal,25
264,Back to the Future Part II,1989-11-22,1989,11,268626278,118450002,Adventure,Universal,23
265,City Slickers,1991-06-07,1991,6,268396160,124033791,Comedy,Sony Pictures,23
266,The Bodyguard,1992-11-25,1992,11,267816973,121945720,Thriller/Suspense,Warner Bros.,23
267,The Mask,1994-07-29,1994,7,267616754,119920129,Comedy,New Line,23
268,Fast and Furious 6,2013-05-24,2013,5,267450606,238679850,Action,Universal,25
269,Wayne's World,1992-02-14,1992,2,267147616,121697323,Comedy,Paramount Pictures,23
270,Star Trek IV: The Voyage Home,1986-11-26,1986,11,266157150,109713132,Adventure,Paramount Pictures,23
271,X-Men,2000-07-14,2000,7,265862778,157299717,Action,20th Century Fox,24
272,Arthur,1981-07-17,1981,7,265860173,81464486,Comedy,Warner Bros.,23
273,Hannibal,2001-02-09,2001,2,265722703,165092266,Horror,MGM,25
274,The Nutty Professor,1996-06-28,1996,6,265496766,128814019,Comedy,Universal,24
275,Scary Movie,2000-07-07,2000,7,265389623,157019771,Comedy,Miramax/Dimension,24
276,Mr. and Mrs. Smith,2005-06-10,2005,6,264824256,186336279,Action,20th Century Fox,25
277,Godzilla,1998-05-19,1998,5,264781066,136314294,Action,Sony Pictures,24
278,Oz the Great and Powerful,2013-03-08,2013,3,263070572,234770996,Adventure,Walt Disney,25
279,Alvin and the Chipmunks: The Squeakquel,2009-12-23,2009,12,262934105,219614612,Adventure,20th Century Fox,25
280,What Lies Beneath,2000-07-21,2000,7,262760705,155464351,Thriller/Suspense,Dreamworks SKG,24
281,Elf,2003-11-07,2003,11,261854770,174626840,Adventure,New Line,25
282,Flashdance,1983-04-15,1983,4,261626391,90463574,Drama,Paramount Pictures,23
283,Trading Places,1983-06-08,1983,6,261442533,90400000,Comedy,Paramount Pictures,23
284,X-Men: Days of Future Past,2014-05-23,2014,5,260835388,233921534,Action,20th Century Fox,25
285,The Hunt for Red October,1990-03-02,1990,3,260584563,120709866,Thriller/Suspense,Paramount Pictures,23
286,Moana,2016-11-23,2016,11,260531296,248757044,Musical,Walt Disney,25
287,Hook,1991-12-11,1991,12,259791920,119654823,Adventure,Sony Pictures,23
288,Basic Instinct,1992-03-20,1992,3,258432526,117727224,Thriller/Suspense,Sony Pictures,23
289,Chicago,2002-12-27,2002,12,258399866,170687518,Musical,Miramax,25
290,The Bourne Supremacy,2004-07-23,2004,7,258318295,176087450,Thriller/Suspense,Universal,25
291,Total Recall,1990-06-01,1990,6,257734262,119394839,Action,Sony Pictures,23
292,Ghostbusters II,1989-06-16,1989,6,256848880,112494738,Comedy,Sony Pictures,23
293,Star Trek Into Darkness,2013-05-16,2013,5,256355910,228778661,Adventure,Paramount Pictures,25
294,The Birdcage,1996-03-08,1996,3,255699462,124060553,Comedy,MGM,24
