Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Fame,Fame,1980-05-16,1980,5,71805858,21202829,Musical,MGM,22,Won 2 Oscars. Another 5 wins & 16 nominations.,58,6.6,84%,R,Alan Parker,134 min,USA
Conan the Destroyer,Conan the Destroyer,1984-06-29,1984,6,71578564,26400000,Action,Universal,23,1 win & 3 nominations.,53,5.9,26%,PG,Richard Fleischer,103 min,"USA, Mexico"
Friday the 13th Part 2,Friday the 13th Part 2,1981-04-30,1981,4,71185066,21722776,Horror,Paramount Pictures,23,3 nominations.,26,6.1,27%,R,Steve Miner,87 min,USA
Darkman,Darkman,1990-08-24,1990,8,71115721,32942739,Action,Universal,23,3 wins & 8 nominations.,65,6.4,84%,R,Sam Raimi,96 min,USA
The Accused,The Accused,1988-10-14,1988,10,71103031,32078318,Drama,Paramount Pictures,23,Won 1 Oscar. Another 5 wins & 5 nominations.,65,7.1,91%,R,Jonathan Kaplan,111 min,"Canada, USA"
Desperately Seeking Susan,Desperately Seeking Susan,1985-03-29,1985,3,70313795,27400000,Comedy,Orion Pictures,23,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,71,6.0,83%,PG-13,Susan Seidelman,104 min,USA
A Passage to India,A Passage to India,1984-12-14,1984,12,69963424,27187653,Drama,Sony Pictures,23,Won 2 Oscars. Another 20 wins & 26 nominations.,78,7.3,79%,PG,David Lean,164 min,"UK, USA"
Victor/Victoria,Victor/Victoria,1982-03-19,1982,3,69795655,22524614,Musical,MGM,23,Won 1 Oscar. Another 10 wins & 17 nominations.,84,7.6,97%,PG,Blake Edwards,134 min,"UK, USA"
Protocol,Protocol,1984-12-21,1984,12,69767824,26300000,Comedy,Warner Bros.,23,5 wins & 30 nominations.,73,7.4,94%,PG-13,Brad Bird,132 min,"USA, United Arab Emirates, Czech Republic, India, Canada"
Spring Break,Spring Break,1983-03-25,1983,3,69616780,24071666,Comedy,Sony Pictures,23,N/A,N/A,5.1,,,,,
The First Purge,The First Purge,2018-07-04,2018,7,69488748,69488745,Horror,Universal,25,N/A,54,5.2,55%,R,Gerard McMurray,97 min,USA
Harry and the Hendersons,Harry and the Hendersons,1987-06-05,1987,6,69339936,29760613,Comedy,Universal,23,Won 1 Oscar. Another 1 win & 7 nominations.,42,6.0,43%,PG,William Dear,110 min,USA
The Muppets Take Manhattan,The Muppets Take Manhattan,1984-07-13,1984,7,69232474,25534703,Comedy,Sony/TriStar,23,Nominated for 1 Oscar. Another 2 nominations.,64,6.9,83%,G,Frank Oz,94 min,USA
Micki + Maude,Micki + Maude,1984-12-21,1984,12,69174289,26200000,Comedy,Sony Pictures,23,Won 1 Golden Globe. Another 1 nomination.,N/A,6.0,67%,PG-13,Blake Edwards,118 min,USA
A Nightmare on Elm Street,A Nightmare on Elm Street,1984-11-09,1984,11,69150621,25504513,Horror,New Line,23,3 wins & 5 nominations.,76,7.5,94%,R,Wes Craven,91 min,USA
Weekend at Bernie's,Weekend at Bernie's,1989-07-05,1989,7,68994858,30218387,Comedy,20th Century Fox,23,1 nomination.,32,6.4,54%,PG-13,Ted Kotcheff,97 min,USA
The Cotton Club,The Cotton Club,1984-12-14,1984,12,68954966,25928721,Drama,Orion Pictures,23,Nominated for 2 Oscars. Another 1 win & 6 nominations.,68,6.5,76%,R,Francis Ford Coppola,127 min,USA
The Woman in Red,The Woman in Red,1984-08-15,1984,8,68618214,25308147,Comedy,Orion Pictures,23,Won 1 Oscar. Another 1 win & 1 nomination.,55,6.0,35%,PG-13,Gene Wilder,87 min,USA
Road House,Road House,1989-05-19,1989,5,68610462,30050028,Action,United Artists,23,5 nominations.,36,6.6,39%,R,Rowdy Herrington,114 min,USA
Prizzi's Honor,Prizzi's Honor,1985-06-14,1985,6,68517458,26700000,Drama,20th Century Fox,23,Won 1 Oscar. Another 26 wins & 24 nominations.,84,6.7,86%,R,John Huston,130 min,USA
Lean on Me,Lean on Me,1989-03-03,1989,3,68092431,29823140,Drama,Warner Bros.,23,4 wins & 5 nominations.,58,7.4,69%,PG-13,John G. Avildsen,108 min,USA
Hoosiers,Hoosiers,1986-11-14,1986,11,67417999,28607524,Drama,Orion Pictures,23,Nominated for 2 Oscars. Another 3 wins & 3 nominations.,76,7.5,89%,PG,David Anspaugh,114 min,"UK, USA"
