Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
Wonder,Wonder,2017-11-17,2017,11,134320054,132422809,Drama,Lionsgate,25,24 wins & 70 nominations.,76,7.4,93%,PG-13,Patty Jenkins,141 min,"USA, China, Hong Kong"
Lost In Space,Lost In Space,1998-04-03,1998,4,134256202,69117629,Adventure,New Line,24,3 wins & 17 nominations.,42,5.2,28%,PG-13,Stephen Hopkins,130 min,USA
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013-09-27,2013,9,134221657,119793567,Adventure,Sony Pictures,25,16 nominations.,59,6.4,71%,PG,"Cody Cameron, Kris Pearn",95 min,USA
Central Intelligence,Central Intelligence,2016-06-17,2016,6,134218076,127440871,Comedy,Warner Bros.,25,2 wins & 8 nominations.,52,6.3,71%,PG-13,Rawson Marshall Thurber,107 min,"USA, China"
Green Lantern,Green Lantern,2011-06-17,2011,6,133951664,116601172,Action,Warner Bros.,25,3 wins & 6 nominations.,39,5.5,26%,PG-13,Martin Campbell,114 min,USA
Sea of Love,Sea of Love,1989-09-15,1989,9,133730946,58571513,Thriller/Suspense,Universal,23,Nominated for 1 Golden Globe. Another 3 nominations.,66,6.8,76%,R,Harold Becker,113 min,"USA, Canada"
It’s Complicated,It’s Complicated,2009-12-25,2009,12,133720342,112735375,Romantic Comedy,Universal,25,Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,57,6.5,58%,R,Nancy Meyers,120 min,"USA, Japan"
Dragnet,Dragnet,1987-06-26,1987,6,133707306,57387000,Comedy,Universal,23,N/A,62,6.0,51%,PG-13,Tom Mankiewicz,106 min,USA
The Legend of Tarzan,The Legend of Tarzan,2016-07-01,2016,7,133377834,126643061,Adventure,Warner Bros.,25,2 wins & 4 nominations.,44,6.2,36%,PG-13,David Yates,110 min,"UK, Canada, USA"
Dante's Peak,Dante's Peak,1997-02-07,1997,2,133303423,67163857,Drama,Universal,24,4 wins & 1 nomination.,43,5.9,26%,PG-13,Roger Donaldson,108 min,USA
Babe,Babe,1995-08-04,1995,8,133090532,63658910,Adventure,Universal,24,Won 1 Oscar. Another 19 wins & 26 nominations.,83,6.7,97%,G,Chris Noonan,91 min,"Australia, USA"
Evan Almighty,Evan Almighty,2007-06-22,2007,6,132796370,100289690,Comedy,Universal,25,2 wins & 11 nominations.,37,5.4,23%,PG,Tom Shadyac,96 min,USA
The Good Dinosaur,The Good Dinosaur,2015-11-25,2015,11,132787169,123087120,Adventure,Walt Disney,25,Nominated for 1 Golden Globe. Another 9 wins & 40 nominations.,66,6.7,76%,PG,Peter Sohn,93 min,USA
Couples Retreat,Couples Retreat,2009-10-09,2009,10,132606809,109205660,Comedy,Universal,25,1 win & 4 nominations.,23,5.5,10%,PG-13,Peter Billingsley,113 min,USA
Space Station,Space Station,2002-04-19,2002,4,132544542,93231060,Documentary,IMAX Films,25,2 nominations.,49,4.9,68%,R,Jack Plotnick,93 min,USA
Any Given Sunday,Any Given Sunday,1999-12-22,1999,12,132378585,75530832,Drama,Warner Bros.,23,3 wins & 9 nominations.,52,6.9,52%,R,Oliver Stone,162 min,USA
Flatliners,Flatliners,1990-08-10,1990,8,132350062,61308153,Thriller/Suspense,Sony Pictures,23,Nominated for 1 Oscar. Another 2 nominations.,55,6.6,48%,R,Joel Schumacher,115 min,USA
Transformers: The Last Knight,Transformers The Last Knight,2017-06-21,2017,6,132200293,130168683,Action,Paramount Pictures,25,2 wins & 19 nominations.,27,5.2,15%,PG-13,Michael Bay,154 min,"USA, China, Canada"
Misery,Misery,1990-11-30,1990,11,132109758,61158960,Thriller/Suspense,Sony Pictures,23,Won 1 Oscar. Another 4 wins & 10 nominations.,75,7.8,90%,R,Rob Reiner,107 min,USA
Scrooged,Scrooged,1988-11-23,1988,11,132076607,59450353,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 1 win & 4 nominations.,38,7.0,71%,PG-13,Richard Donner,101 min,USA
Deep Blue Sea,Deep Blue Sea,1999-07-28,1999,7,132073883,73648228,Action,Warner Bros.,23,2 wins & 4 nominations.,54,5.9,60%,R,Renny Harlin,105 min,"USA, Mexico"
Now You See Me,Now You See Me,2013-05-31,2013,5,131914576,117723989,Thriller/Suspense,Lionsgate,25,1 win & 3 nominations.,50,7.3,50%,PG-13,Louis Leterrier,115 min,"USA, France"
Sully,Sully,2016-09-09,2016,9,131717636,125070033,Drama,Warner Bros.,25,Nominated for 1 Oscar. Another 14 wins & 34 nominations.,74,7.4,85%,PG-13,Clint Eastwood,96 min,USA
A Perfect Murder,A Perfect Murder,1998-06-05,1998,6,131421616,67658331,Thriller/Suspense,Warner Bros.,24,2 wins & 3 nominations.,50,6.5,56%,R,Andrew Davis,107 min,USA
Pet Sematary,Pet Sematary,1989-04-21,1989,4,131214090,57469179,Horror,Paramount Pictures,23,1 win & 5 nominations.,38,6.6,51%,R,Mary Lambert,103 min,USA
Paranormal Activity,Paranormal Activity,2009-09-25,2009,9,131081531,107918810,Horror,Paramount Pictures,25,3 wins & 12 nominations.,68,6.3,83%,R,Oren Peli,86 min,USA
The Wolf of Wall Street,The Wolf of Wall Street,2013-12-25,2013,12,130751357,116949183,Black Comedy,Paramount Pictures,25,Nominated for 5 Oscars. Another 38 wins & 172 nominations.,75,8.2,79%,R,Martin Scorsese,180 min,USA
Lee Daniels' The Butler,Lee Daniels' The Butler,2013-08-16,2013,8,130689199,116632095,Drama,Weinstein Co.,25,Nominated for 2 BAFTA Film Awards. Another 17 wins & 51 nominations.,65,7.2,71%,PG-13,Lee Daniels,132 min,USA
Watchmen,Watchmen,2009-03-06,2009,3,130588570,107509799,Action,Warner Bros.,25,11 wins & 22 nominations.,56,7.6,65%,R,Zack Snyder,162 min,USA
Tightrope,Tightrope,1984-08-17,1984,8,130413986,48100000,Thriller/Suspense,Warner Bros.,23,1 nomination.,61,6.3,85%,R,Richard Tuggle,114 min,USA
U-571,U-571,2000-04-21,2000,4,130288259,77086030,Action,Universal,24,Won 1 Oscar. Another 3 wins & 10 nominations.,62,6.6,68%,PG-13,Jonathan Mostow,116 min,"France, USA"
Anaconda,Anaconda,1997-04-11,1997,4,130197387,65598907,Horror,Sony Pictures,24,6 wins & 11 nominations.,37,4.8,39%,PG-13,Luis Llosa,89 min,USA
Magic Mike,Magic Mike,2012-06-29,2012,6,130151190,113721571,Comedy,Warner Bros.,25,9 wins & 14 nominations.,72,6.1,79%,R,Steven Soderbergh,110 min,USA
Beaches,Beaches,1988-12-21,1988,12,130092267,57041866,Drama,Walt Disney,23,Nominated for 1 Oscar. Another 1 win & 5 nominations.,46,7.0,39%,PG-13,Garry Marshall,123 min,USA
The Mummy: Tomb of the Dragon Emperor,The Mummy Tomb of the Dragon Emperor,2008-08-01,2008,8,130041797,102491776,Adventure,Universal,25,2 wins & 6 nominations.,31,5.2,13%,PG-13,Rob Cohen,112 min,"USA, Germany, China, Canada"
The Natural,The Natural,1984-05-11,1984,5,130012654,47951979,Drama,Sony/TriStar,23,Nominated for 4 Oscars. Another 3 wins & 4 nominations.,61,7.5,81%,PG,Barry Levinson,138 min,USA
The Bourne Legacy,The Bourne Legacy,2012-08-10,2012,8,129558694,113203870,Thriller/Suspense,Universal,25,1 win & 11 nominations.,61,6.7,55%,PG-13,Tony Gilroy,135 min,"USA, Japan"
Meet the Robinsons,Meet the Robinsons,2007-03-30,2007,3,129529059,97822171,Adventure,Walt Disney,25,1 win & 10 nominations.,61,6.8,67%,G,Stephen J. Anderson,95 min,USA
Jimmy Neutron: Boy Genius,Jimmy Neutron Boy Genius,2001-12-21,2001,12,129497356,80936232,Adventure,Paramount Pictures,25,Nominated for 1 Oscar. Another 5 nominations.,65,6.0,74%,G,John A. Davis,82 min,USA
Beavis and Butt-Head Do America,Beavis and Butt-Head Do America,1996-12-20,1996,12,129411376,63118386,Adventure,Paramount Pictures,24,1 win & 4 nominations.,64,6.8,72%,PG-13,"Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan",81 min,USA
Starsky & Hutch,Starsky & Hutch,2004-03-05,2004,3,129388729,88200225,Comedy,Warner Bros.,25,3 wins & 10 nominations.,55,6.1,62%,PG-13,Todd Phillips,101 min,USA
Far and Away,Far and Away,1992-05-22,1992,5,129260669,58883840,Drama,Universal,23,3 nominations.,49,6.6,47%,PG-13,Ron Howard,140 min,USA
Along Came Polly,Along Came Polly,2004-01-16,2004,1,129202839,88073507,Romantic Comedy,Universal,25,1 win & 9 nominations.,44,6.0,26%,PG-13,John Hamburg,90 min,USA
A View to a Kill,A View to a Kill,1985-05-24,1985,5,129151468,50327960,Action,MGM,23,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,40,6.4,37%,PG,John Glen,131 min,UK
Journey to the Center of the Earth,Journey to the Center of the Earth,2008-07-11,2008,7,129042731,101704370,Adventure,Warner Bros.,25,3 wins & 3 nominations.,57,5.8,61%,PG,Eric Brevig,93 min,USA
The Last Boy Scout,The Last Boy Scout,1991-12-13,1991,12,128957589,59509925,Action,Warner Bros.,23,2 nominations.,52,7.0,46%,R,Tony Scott,105 min,USA
Rugrats in Paris,Rugrats in Paris,2000-11-17,2000,11,128873212,76501438,Adventure,Paramount Pictures,24,3 wins & 7 nominations.,62,6.1,76%,G,"Stig Bergqvist, Paul Demeyer",78 min,"Germany, USA"
Brother Bear,Brother Bear,2003-10-24,2003,10,128834996,85336277,Adventure,Walt Disney,25,Nominated for 1 Oscar. Another 2 wins & 21 nominations.,48,6.8,37%,G,"Aaron Blaise, Robert Walker",85 min,USA
The Parent Trap,The Parent Trap,1998-07-29,1998,7,128799694,66308518,Adventure,Walt Disney,24,2 wins & 7 nominations.,64,6.5,86%,PG,Nancy Meyers,128 min,"USA, UK"
Honey I Blew Up the Kid,Honey I Blew Up the Kid,1992-07-17,1992,7,128774678,58662452,Adventure,Walt Disney,23,10 nominations.,50,4.8,40%,PG,Randal Kleiser,89 min,USA
Eagle Eye,Eagle Eye,2008-09-26,2008,9,128706126,101440743,Thriller/Suspense,Paramount Pictures,25,3 wins & 8 nominations.,43,6.6,26%,PG-13,D.J. Caruso,118 min,"USA, Germany"
HouseSitter,HouseSitter,1992-06-12,1992,6,128419461,58500635,Comedy,Universal,23,N/A,N/A,6.1,37%,PG,Frank Oz,102 min,USA
Death Becomes Her,Death Becomes Her,1992-07-31,1992,7,128248266,58422650,Comedy,Universal,23,Won 1 Oscar. Another 4 wins & 16 nominations.,56,6.6,56/100,PG-13,Robert Zemeckis,104 min,USA
Blade 2,Blade 2,2002-03-22,2002,3,128068234,81676888,Action,New Line,25,N/A,N/A,6.5,,,,,
Demolition Man,Demolition Man,1993-10-08,1993,10,127982136,58055768,Action,Warner Bros.,23,1 win & 7 nominations.,34,6.7,60%,R,Marco Brambilla,115 min,USA
The Specialist,The Specialist,1994-10-07,1994,10,127914576,57362581,Action,Warner Bros.,23,4 wins & 7 nominations.,N/A,5.6,7%,R,Luis Llosa,110 min,USA
Stand by Me,Stand by Me,1986-08-08,1986,8,127821217,52287414,Drama,Sony Pictures,23,Nominated for 1 Oscar. Another 5 wins & 10 nominations.,75,8.1,91%,R,Rob Reiner,89 min,USA
Ever After: A Cinderella Story,Ever After A Cinderella Story,1998-07-31,1998,7,127624605,65705772,Drama,20th Century Fox,24,6 wins & 15 nominations.,66,7.0,91%,PG-13,Andy Tennant,121 min,USA
Valentine's Day,Valentine's Day,2010-02-12,2010,2,127569617,110485654,Romantic Comedy,Warner Bros.,25,7 wins & 12 nominations.,34,5.7,18%,PG-13,Garry Marshall,125 min,USA
Flightplan,Flightplan,2005-09-23,2005,9,127475620,89706988,Thriller/Suspense,Walt Disney,25,2 wins & 6 nominations.,53,6.3,37%,PG-13,Robert Schwentke,98 min,USA
Step Brothers,Step Brothers,2008-07-25,2008,7,127475027,100468793,Comedy,Sony Pictures,25,3 wins & 2 nominations.,51,6.9,55%,R,Adam McKay,98 min,USA
The Color of Money,The Color of Money,1986-10-17,1986,10,127472267,52293000,Drama,Walt Disney,23,Won 1 Oscar. Another 2 wins & 10 nominations.,77,7.0,89%,R,Martin Scorsese,119 min,USA
Snow Dogs,Snow Dogs,2002-01-18,2002,1,127243160,81150692,Adventure,Walt Disney,25,1 win.,29,5.2,25%,PG,Brian Levant,99 min,"Canada, USA"
Bumblebee,Bumblebee,2018-12-21,2018,12,127195589,127195589,Adventure,Paramount Pictures,25,2 wins & 11 nominations.,66,6.8,90%,PG-13,Travis Knight,114 min,"China, USA"
L.A. Confidential,L.A. Confidential,1997-09-19,1997,9,127111329,64604977,Drama,Warner Bros.,24,Won 2 Oscars. Another 89 wins & 84 nominations.,90,8.2,99%,R,Curtis Hanson,138 min,USA
Unbroken,Unbroken,2014-12-25,2014,12,127107129,115637895,Drama,Universal,25,Nominated for 3 Oscars. Another 15 wins & 29 nominations.,59,7.2,50%,PG-13,Angelina Jolie,137 min,USA
Willow,Willow,1988-05-20,1988,5,126941227,57269863,Adventure,Sony Pictures,23,Nominated for 2 Oscars. Another 1 win & 9 nominations.,47,7.3,50%,PG,Ron Howard,126 min,USA
You Don't Mess With the Zohan,You Don't Mess With the Zohan,2008-06-06,2008,6,126904122,100018837,Comedy,Sony Pictures,25,2 wins & 2 nominations.,54,5.5,37%,PG-13,Dennis Dugan,113 min,USA
National Lampoon's European Vacation,National Lampoon's European Vacation,1985-07-26,1985,7,126770132,49400000,Comedy,Warner Bros.,23,1 win & 1 nomination.,47,6.2,36%,PG-13,Amy Heckerling,95 min,USA
Norbit,Norbit,2007-02-09,2007,2,126684088,95673607,Comedy,Paramount Pictures,25,Nominated for 1 Oscar. Another 8 wins & 8 nominations.,27,4.1,9%,PG-13,Brian Robbins,102 min,USA
In & Out,In & Out,1997-09-19,1997,9,126662425,63826569,Comedy,Paramount Pictures,24,Nominated for 1 Oscar. Another 7 wins & 17 nominations.,70,6.4,71%,PG-13,Frank Oz,90 min,USA
Artificial Intelligence: AI,Artificial Intelligence AI,2001-06-29,2001,6,126536752,78616689,Drama,Warner Bros.,25,,,,,,,,
Sister Act 2 Back in the Habit,Sister Act 2 Back in the Habit,1993-12-10,1993,12,126400621,57319029,Comedy,Walt Disney,23,1 win & 3 nominations.,38,5.6,17%,PG,Bill Duke,107 min,USA
La Bamba,La Bamba,1987-07-24,1987,7,126317757,54215416,Drama,Sony Pictures,23,Nominated for 1 Golden Globe. Another 3 wins & 2 nominations.,65,6.9,91%,PG-13,Luis Valdez,108 min,USA
Mean Girls,Mean Girls,2004-04-30,2004,4,126230310,86047227,Comedy,Paramount Pictures,25,7 wins & 25 nominations.,66,7.0,84%,PG-13,Mark Waters,97 min,"USA, Canada"
The Fifth Element,The Fifth Element,1997-05-09,1997,5,126172234,63570862,Action,Sony Pictures,24,Nominated for 1 Oscar. Another 10 wins & 38 nominations.,52,7.7,70%,PG-13,Luc Besson,126 min,"France, UK, USA"
Scary Movie 4,Scary Movie 4,2006-04-14,2006,4,126163925,90710620,Comedy,Weinstein/Dimension,25,1 win & 3 nominations.,40,5.1,35%,PG-13,David Zucker,83 min,USA
Species,Species,1995-07-07,1995,7,125769198,60054449,Action,MGM,24,3 wins & 6 nominations.,49,5.8,43%,R,Roger Donaldson,108 min,USA
The Hangover 3,The Hangover 3,2013-05-23,2013,5,125724796,112200072,Comedy,Warner Bros.,25,,,,,,,,
Brubaker,Brubaker,1980-06-20,1980,6,125717007,37121708,Drama,20th Century Fox,22,Nominated for 1 Oscar. Another 1 win & 1 nomination.,54,7.2,75%,R,Stuart Rosenberg,131 min,USA
The Princess and the Frog,The Princess and the Frog,2009-11-25,2009,11,125699042,104400899,Adventure,Walt Disney,25,Nominated for 3 Oscars. Another 11 wins & 38 nominations.,73,7.1,85%,G,"Ron Clements, John Musker",97 min,USA
My Girl,My Girl,1991-11-27,1991,11,125530789,58011485,Comedy,Sony Pictures,23,2 wins & 5 nominations.,56,6.9,53%,PG,Howard Zieff,102 min,USA
Unlawful Entry,Unlawful Entry,1992-06-26,1992,6,125429814,57138719,Thriller/Suspense,20th Century Fox,23,1 nomination.,N/A,6.3,73%,R,Jonathan Kaplan,111 min,"Japan, USA"
The Family Man,The Family Man,2000-12-22,2000,12,125423938,75764085,Comedy,Universal,24,4 wins & 6 nominations.,42,6.8,53%,PG-13,Brett Ratner,125 min,USA
The American President,The American President,1995-11-17,1995,11,125405955,60022813,Romantic Comedy,Sony Pictures,24,Nominated for 1 Oscar. Another 1 win & 9 nominations.,67,6.8,91%,PG-13,Rob Reiner,114 min,USA
Night at the Museum: Secret of the Tomb,Night at the Museum Secret of the Tomb,2014-12-19,2014,12,125307066,113746621,Adventure,20th Century Fox,25,1 win & 4 nominations.,47,6.2,47%,PG,Shawn Levy,98 min,"UK, USA"
SpongeBob SquarePants: The Movie,SpongeBob SquarePants The Movie,2004-11-19,2004,11,125144234,85416609,Adventure,Paramount Pictures,25,,,,,,,,
Tombstone,Tombstone,1993-12-25,1993,12,125121186,56505065,Western,Walt Disney,23,2 nominations.,50,7.8,74%,R,"George P. Cosmatos, Kevin Jarre",130 min,USA
Beethoven,Beethoven,1992-04-03,1992,4,125080245,56979478,Comedy,Universal,23,1 win & 4 nominations.,N/A,5.7,30%,PG,Brian Levant,87 min,USA
Freddy vs. Jason,Freddy vs. Jason,2003-08-15,2003,8,124824601,82622655,Horror,New Line,25,2 wins & 11 nominations.,37,5.7,41%,R,Ronny Yu,97 min,"Canada, USA"
Jingle All the Way,Jingle All the Way,1996-11-22,1996,11,124628189,60592389,Adventure,20th Century Fox,24,2 wins & 4 nominations.,34,5.6,15%,PG,Brian Levant,89 min,USA
RoboCop,RoboCop,1987-07-17,1987,7,124475405,53424681,Action,Orion Pictures,23,Nominated for 2 Oscars. Another 11 wins & 10 nominations.,67,7.5,90%,R,Paul Verhoeven,102 min,USA
"Greystoke: The Legend of Tarzan, Lord…","Greystoke The Legend of Tarzan, Lord…",1984-03-30,1984,3,124449105,45900000,Adventure,Warner Bros.,23,,,,,,,,
Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014-03-07,2014,3,124335803,111506430,Adventure,20th Century Fox,25,2 wins & 16 nominations.,59,6.8,81%,PG,Rob Minkoff,92 min,USA
The Thomas Crown Affair,The Thomas Crown Affair,1999-08-06,1999,8,124281563,69304264,Drama,MGM,23,3 wins & 2 nominations.,72,6.8,70%,R,John McTiernan,113 min,USA
Hop,Hop,2011-04-01,2011,4,124168617,108085305,Adventure,Universal,25,2 nominations.,41,5.4,25%,PG,Tim Hill,95 min,USA
The Cable Guy,The Cable Guy,1996-06-14,1996,6,124160427,60240295,Comedy,Sony Pictures,24,3 wins & 2 nominations.,56,6.1,54%,PG-13,Ben Stiller,96 min,USA
The Abyss,The Abyss,1989-08-09,1989,8,123848336,54243125,Action,20th Century Fox,23,Won 1 Oscar. Another 8 wins & 15 nominations.,62,7.6,89%,PG-13,James Cameron,171 min,USA
Hollow Man,Hollow Man,2000-08-04,2000,8,123736001,73209340,Horror,Sony Pictures,24,Nominated for 1 Oscar. Another 7 wins & 13 nominations.,24,5.8,27%,R,Paul Verhoeven,112 min,"USA, Germany"
Saw II,Saw II,2005-10-28,2005,10,123681186,87025093,Horror,Lionsgate,25,4 wins & 8 nominations.,40,6.6,37%,R,Darren Lynn Bousman,93 min,"USA, Canada"
Galaxy Quest,Galaxy Quest,1999-12-24,1999,12,123534962,71423726,Adventure,Dreamworks SKG,23,7 wins & 14 nominations.,70,7.3,89%,PG,Dean Parisot,102 min,USA
Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2 Monsters Unleashed,2004-03-26,2004,3,123499014,84185387,Adventure,Warner Bros.,25,1 win & 4 nominations.,34,5.1,22%,PG,Raja Gosnell,93 min,"USA, Canada"
Anchorman: The Legend of Ron Burgundy,Anchorman The Legend of Ron Burgundy,2004-07-09,2004,7,123427892,84136909,Comedy,Dreamworks SKG,25,1 win & 13 nominations.,63,7.2,66%,PG-13,Adam McKay,94 min,USA
Failure to Launch,Failure to Launch,2006-03-10,2006,3,123388609,88715192,Romantic Comedy,Paramount Pictures,25,5 nominations.,47,5.6,24%,PG-13,Tom Dey,97 min,USA
Inside Man,Inside Man,2006-03-24,2006,3,123276010,88634237,Thriller/Suspense,Universal,25,6 wins & 11 nominations.,76,7.6,86%,R,Spike Lee,129 min,USA
Outrageous Fortune,Outrageous Fortune,1987-01-30,1987,1,123170789,52864741,Comedy,Walt Disney,23,Nominated for 1 Golden Globe. Another 2 wins.,N/A,6.2,50%,R,Arthur Hiller,99 min,USA
Black Swan,Black Swan,2010-12-03,2010,12,123148187,106954678,Thriller/Suspense,Fox Searchlight,25,Won 1 Oscar. Another 97 wins & 277 nominations.,79,8.0,85%,R,Darren Aronofsky,108 min,USA
Yes Man,Yes Man,2008-12-19,2008,12,122966142,97690976,Comedy,Warner Bros.,25,3 wins & 9 nominations.,46,6.8,46%,PG-13,Peyton Reed,104 min,"USA, UK"
Forever Young,Forever Young,1992-12-11,1992,12,122893117,55942530,Drama,Warner Bros.,23,N/A,N/A,6.3,57%,PG,Steve Miner,102 min,USA
Training Day,Training Day,2001-10-05,2001,10,122745234,76261036,Drama,Warner Bros.,25,Won 1 Oscar. Another 17 wins & 23 nominations.,69,7.7,72%,R,Antoine Fuqua,122 min,USA
School of Rock,School of Rock,2003-10-03,2003,10,122722641,81261177,Comedy,Paramount Pictures,25,Nominated for 1 Golden Globe. Another 8 wins & 22 nominations.,82,7.1,91%,PG-13,Richard Linklater,109 min,"USA, Germany"
Throw Momma From the Train,Throw Momma From the Train,1987-12-11,1987,12,122586046,53380796,Comedy,Orion Pictures,23,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,56,6.3,63%,PG-13,Danny DeVito,88 min,USA
We Were Soldiers,We Were Soldiers,2002-03-01,2002,3,122491384,78120196,Drama,Paramount Pictures,25,3 wins & 5 nominations.,65,7.2,63%,R,Randall Wallace,138 min,"USA, Germany, France"
Legal Eagles,Legal Eagles,1986-06-18,1986,6,122411853,49851591,Comedy,Universal,23,1 win.,57,6.0,44%,PG,Ivan Reitman,116 min,USA
Blue Thunder,Blue Thunder,1983-05-13,1983,5,122372899,42313354,Action,Sony Pictures,23,Nominated for 1 Oscar. Another 1 win & 2 nominations.,66,6.4,81%,R,John Badham,109 min,USA
Blue Streak,Blue Streak,1999-09-17,1999,9,122272070,68208190,Action,Sony Pictures,23,N/A,46,6.3,36%,PG-13,Les Mayfield,93 min,"Germany, USA"
Jaws 3-D,Jaws 3-D,1983-07-22,1983,7,122175740,42245180,Horror,Universal,23,5 nominations.,27,3.7,13%,PG,Joe Alves,99 min,USA
Mouse Hunt,Mouse Hunt,1997-12-19,1997,12,121922155,61894591,Adventure,Dreamworks SKG,24,,,,,,,,
The Dark Crystal,The Dark Crystal,1982-12-17,1982,12,121901930,40577001,Adventure,Universal,23,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,66,7.2,79%,PG,"Jim Henson, Frank Oz",93 min,"USA, UK"
Time Bandits,Time Bandits,1981-11-06,1981,11,121880658,37400000,Adventure,Avco Embassy,23,1 win & 8 nominations.,79,7.0,89%,PG,Terry Gilliam,110 min,UK
Robin Hood,Robin Hood,2010-05-14,2010,5,121798213,105487148,Action,Universal,25,1 win & 14 nominations.,53,6.6,43%,PG-13,Ridley Scott,140 min,"USA, UK"
The Saint,The Saint,1997-04-04,1997,4,121790779,61363304,Action,Paramount Pictures,24,1 win & 2 nominations.,50,6.2,30%,PG-13,Phillip Noyce,116 min,USA
The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,2003-10-17,2003,10,121721525,80571655,Horror,New Line,25,4 wins & 17 nominations.,38,6.2,37%,R,Marcus Nispel,98 min,USA
Courage Under Fire,Courage Under Fire,1996-07-12,1996,7,121611039,59003384,Drama,20th Century Fox,24,9 wins & 7 nominations.,77,6.6,85%,R,Edward Zwick,116 min,USA
Boyz n the Hood,Boyz n the Hood,1991-07-12,1991,7,121589485,56190094,Drama,Sony Pictures,23,Nominated for 2 Oscars. Another 11 wins & 21 nominations.,76,7.7,96%,R,John Singleton,112 min,USA
Cheech & Chong's Nice Dreams,Cheech & Chong's Nice Dreams,1981-06-05,1981,6,121248197,37000000,Comedy,Columbia,23,,,,,,,,
Scarface,Scarface,1983-12-09,1983,12,121058463,44942821,Drama,Universal,23,Nominated for 3 Golden Globes. Another 4 nominations.,65,8.3,81%,R,Brian De Palma,170 min,USA
To the Limit,To the Limit,1989-11-15,1989,11,121010025,53000000,Documentary,,23,N/A,N/A,3.1,,,,,
Devil's Advocate,Devil's Advocate,1997-10-17,1997,10,121003384,61007424,Drama,Warner Bros.,24,2 wins & 7 nominations.,60,7.5,67%,R,Taylor Hackford,144 min,"USA, Germany"
Jack,Jack,1996-08-09,1996,8,120810543,58617334,Drama,Walt Disney,24,1 win & 5 nominations.,50,7.0,63%,PG-13,Christopher McQuarrie,130 min,USA
Mamma Mia: Here We Go Again!,Mamma Mia Here We Go Again!,2018-07-20,2018,7,120634935,120634935,Musical,Universal,25,,,,,,,,
Alien 3,Alien 3,1992-05-22,1992,5,120575068,54927174,Action,20th Century Fox,23,Nominated for 1 Oscar. Another 5 wins & 24 nominations.,59,6.5,44%,R,David Fincher,114 min,USA
Epic,Episodec,2013-05-24,2013,5,120479112,107518682,Adventure,20th Century Fox,25,,,,,,,,
The Chronicles of Narnia: The Voyage …,The Chronicles of Narnia The Voyage …,2010-12-10,2010,12,120426201,104386950,Adventure,20th Century Fox,25,Nominated for 1 Golden Globe. Another 2 wins & 17 nominations.,53,6.3,50%,PG,Michael Apted,113 min,"USA, UK"
Cobra,Cobra,1986-05-23,1986,5,120424434,49042224,Action,Cannon,23,3 wins & 16 nominations.,32,5.8,34%,PG-13,Stephen Sommers,118 min,"USA, Czech Republic"
"10,000 B.C.","10,000 B.C.",2008-03-07,2008,3,120262404,94784201,Adventure,Warner Bros.,25,N/A,34,5.1,8%,PG-13,Roland Emmerich,109 min,"USA, South Africa"
Gangs of New York,Gangs of New York,2002-12-20,2002,12,120127047,77730500,Drama,Miramax,25,Nominated for 10 Oscars. Another 50 wins & 124 nominations.,72,7.5,73%,R,Martin Scorsese,167 min,"USA, Italy"
Kiss the Girls,Kiss the Girls,1997-10-03,1997,10,120100054,60527873,Thriller/Suspense,Paramount Pictures,24,5 nominations.,46,6.6,29%,R,Gary Fleder,115 min,USA
Captain Phillips,Captain Phillips,2013-10-11,2013,10,120038134,107136417,Drama,Sony Pictures,25,Nominated for 6 Oscars. Another 16 wins & 146 nominations.,82,7.8,93%,PG-13,Paul Greengrass,134 min,USA
The Game Plan,The Game Plan,2007-09-28,2007,9,119965363,90648202,Comedy,Walt Disney,25,3 nominations.,44,6.1,28%,PG,Andy Fickman,110 min,USA
Beverly Hills Chihuahua,Beverly Hills Chihuahua,2008-10-03,2008,10,119880276,94514402,Adventure,Walt Disney,25,3 wins & 6 nominations.,41,3.8,41%,PG,Raja Gosnell,91 min,"USA, Mexico"
Fletch,Fletch,1985-05-31,1985,5,119841403,46700000,Comedy,Universal,23,1 nomination.,68,6.9,77%,PG,Michael Ritchie,98 min,USA
"Tarzan, The Ape Man","Tarzan, The Ape Man",1981-07-24,1981,7,119822709,36565000,Action,MGM,23,1 win & 1 nomination.,N/A,7.0,100%,Passed,W.S. Van Dyke,100 min,USA
Spy!,Spy!,2015-06-05,2015,6,119765389,110825712,Comedy,20th Century Fox,25,Nominated for 2 Golden Globes. Another 6 wins & 27 nominations.,75,7.0,95%,R,Paul Feig,120 min,"USA, UK, France, Hungary, Germany"
